Census Tract , CES 3.0 Score,CES 3.0 Percentile," CES 3.0 
Percentile Range",Total Population,"California 
County",Hispanic (%),White (%),African American (%),Native American (%),Asian American (%),Other (%)
6019001100,94.09,100,95-100% (highest scores),3174,Fresno ,65.3,4.2,24.6,0.5,3.5,1.8
6071001600,90.68,99.99,95-100% (highest scores),6133,San Bernardino,91.1,5.8,0.7,0.3,1.4,0.7
6019000200,85.97,99.97,95-100% (highest scores),3167,Fresno ,63.6,5.3,18.9,0.6,9.8,1.8
6077000801,82.49,99.96,95-100% (highest scores),6692,San Joaquin,57.4,6,12.5,0.3,20.9,2.8
6019001500,82.03,99.95,95-100% (highest scores),2206,Fresno ,71.8,21.4,1.2,0.5,4.5,0.6
6037204920,80.73,99.94,95-100% (highest scores),2598,Los Angeles,98.1,1.2,0.1,0.1,0.2,0.3
6077000300,80.18,99.92,95-100% (highest scores),2396,San Joaquin,51.8,16.4,16.4,1.3,9.9,4.1
6019001000,80.13,99.91,95-100% (highest scores),4106,Fresno ,52.7,2.7,28.7,0.4,14.3,1.2
6037206050,79.03,99.9,95-100% (highest scores),2146,Los Angeles,79.3,8.9,4.1,0.1,7.2,0.5
6019000400,78.53,99.89,95-100% (highest scores),6343,Fresno ,78,9.1,5.8,0.8,5.3,0.9
6099002100,78.52,99.87,95-100% (highest scores),4165,Stanislaus ,66.5,25.6,2.4,0.9,2.2,2.5
6029002500,78.41,99.86,95-100% (highest scores),9122,Kern ,76.7,5.1,15.9,0.7,0.4,1.2
6019000600,78.41,99.85,95-100% (highest scores),6161,Fresno ,70.8,15.2,6.8,0.7,4.4,2.2
6019001201,78.05,99.84,95-100% (highest scores),5936,Fresno ,83.1,5.1,3.7,0.7,6.6,0.8
6037205120,78.04,99.82,95-100% (highest scores),3618,Los Angeles,96.5,0.8,1,0.1,1.1,0.4
6019000902,77.65,99.81,95-100% (highest scores),5252,Fresno ,57.9,1.5,21.3,0.3,17.7,1.3
6037291220,77.5,99.8,95-100% (highest scores),3353,Los Angeles,65.1,4.5,11.5,0.1,17,1.7
6019001202,77.41,99.79,95-100% (highest scores),4756,Fresno ,72.5,2.5,11.7,0.4,12.3,0.6
6019000800,77.4,99.77,95-100% (highest scores),964,Fresno ,66.9,4,6.2,0.6,20.9,1.3
6019000300,76.71,99.76,95-100% (highest scores),3609,Fresno ,62.8,3.4,25.7,0.9,5.8,1.4
6037239202,76.04,99.75,95-100% (highest scores),4724,Los Angeles,82.6,0.7,16.1,0,0,0.6
6037226002,76.04,99.74,95-100% (highest scores),1604,Los Angeles,49.8,22.7,18.3,0.4,6.7,2.2
6077000700,76.02,99.72,95-100% (highest scores),5269,San Joaquin,74.4,4,4.8,0.3,14.3,2.2
6019000901,75.86,99.71,95-100% (highest scores),3151,Fresno ,54.4,3.6,21.9,0.1,18.5,1.5
6077000100,75.54,99.7,95-100% (highest scores),3863,San Joaquin,51.9,17,15.2,1,11.9,3.1
6099002302,75.19,99.68,95-100% (highest scores),4010,Stanislaus ,76.1,18.4,1.5,0.6,2.3,1.1
6071004900,74.95,99.67,95-100% (highest scores),7590,San Bernardino,86.6,6.6,4.6,0.3,0.8,1
6037535400,74.46,99.66,95-100% (highest scores),3495,Los Angeles,86.4,1.1,11.9,0,0.1,0.5
6019000700,74.16,99.65,95-100% (highest scores),3921,Fresno ,61.7,4.2,29,0.5,2.8,1.8
6065030300,74.06,99.63,95-100% (highest scores),4497,Riverside ,41.4,36.8,16,0.8,2.1,2.9
6019007100,73.78,99.62,95-100% (highest scores),7904,Fresno ,87.8,7.3,1.1,0.4,2.6,0.8
6037243100,73.54,99.61,95-100% (highest scores),5350,Los Angeles,64.7,1.8,31.8,0.2,0.4,1
6037543305,73.54,99.6,95-100% (highest scores),2666,Los Angeles,27.2,26.9,37.3,0.6,5.2,2.9
6071005701,73.28,99.58,95-100% (highest scores),2216,San Bernardino,59.3,19.2,11.9,1,6.7,1.9
6037204600,73.13,99.57,95-100% (highest scores),4101,Los Angeles,96.3,1.8,0.4,0.2,1.1,0.2
6037227010,72.68,99.56,95-100% (highest scores),4662,Los Angeles,92.1,0.6,7.1,0.1,0,0.2
6099002301,72.39,99.55,95-100% (highest scores),7841,Stanislaus ,74.4,15.6,2.4,0.7,5,2
6019000100,71.95,99.53,95-100% (highest scores),2860,Fresno ,55.7,21.7,16.4,0.8,4.6,0.7
6077001900,71.89,99.52,95-100% (highest scores),5592,San Joaquin,74.1,7.7,10.9,0.5,4.5,2.4
6037206032,71.56,99.51,95-100% (highest scores),5275,Los Angeles,80.3,2,1.2,0.2,15.5,0.7
6037226001,71.53,99.5,95-100% (highest scores),2068,Los Angeles,89.1,1.7,6.1,0.2,2.6,0.2
6037239501,71.36,99.48,95-100% (highest scores),3454,Los Angeles,74.8,0.7,24,0,0.1,0.3
6019002000,71.34,99.47,95-100% (highest scores),6369,Fresno ,58.3,22.5,8.1,0.9,7.9,2.4
6077005119,71.3,99.46,95-100% (highest scores),6006,San Joaquin,29.8,22.5,10.1,0.3,33.1,4.3
6037203100,71.05,99.45,95-100% (highest scores),4839,Los Angeles,95.8,1,1.1,0.3,1.5,0.3
6037530700,71.03,99.43,95-100% (highest scores),2213,Los Angeles,95.2,2.1,0.8,0.2,1.5,0.2
6073005000,70.91,99.42,95-100% (highest scores),2227,San Diego,90.3,5.4,1.8,0.2,1.4,0.9
6037301601,70.91,99.41,95-100% (highest scores),6198,Los Angeles,18.9,66.8,1.2,0.1,8.3,4.7
6037185320,70.89,99.39,95-100% (highest scores),3081,Los Angeles,90,3.7,0.6,0.2,5,0.6
6037543202,70.82,99.38,95-100% (highest scores),4867,Los Angeles,73.6,0.9,23.5,0,1.1,0.8
6065030502,70.63,99.37,95-100% (highest scores),2220,Riverside ,87.2,7.6,3.7,0.3,0.5,0.7
6071012500,70.61,99.36,95-100% (highest scores),4268,San Bernardino,87.7,6.7,3.3,0.4,0.8,1.1
6037531302,70.59,99.34,95-100% (highest scores),6709,Los Angeles,98.1,1.1,0.2,0.1,0.1,0.4
6019001301,70.56,99.33,95-100% (highest scores),5653,Fresno ,84.9,5.9,2.5,0.6,5.2,0.8
6019002502,70.56,99.32,95-100% (highest scores),5431,Fresno ,66.6,5.2,3.6,0.5,22.4,1.8
6037402801,70.39,99.31,95-100% (highest scores),5170,Los Angeles,92.5,2.9,1.8,0.1,2,0.6
6019001304,70.21,99.29,95-100% (highest scores),5796,Fresno ,60.2,3.5,9,0.8,25.2,1.4
6077002201,70.16,99.28,95-100% (highest scores),2771,San Joaquin,67.1,2.9,24.5,0.3,2.8,2.4
6037532304,69.97,99.27,95-100% (highest scores),3987,Los Angeles,87.8,5.9,3.6,0.7,1.3,0.6
6019001303,69.96,99.26,95-100% (highest scores),2888,Fresno ,64.4,3.9,4.3,1.2,25.7,0.6
6029002200,69.89,99.24,95-100% (highest scores),6537,Kern ,75.8,3.3,19.2,0.3,0.3,1
6037205110,69.85,99.23,95-100% (highest scores),3766,Los Angeles,98.5,1.1,0.1,0.1,0.1,0.2
6037570502,69.77,99.22,95-100% (highest scores),6616,Los Angeles,54.8,11,13.9,0.3,17.7,2.3
6037291210,69.62,99.21,95-100% (highest scores),4967,Los Angeles,62.6,5.6,13.5,0.1,16.5,1.6
6037219901,69.47,99.19,95-100% (highest scores),5234,Los Angeles,79.8,2.2,16,0.1,0.6,1.2
6037534202,69.37,99.18,95-100% (highest scores),5790,Los Angeles,95.6,3,0.7,0.1,0.3,0.2
6037540400,69.24,99.17,95-100% (highest scores),2384,Los Angeles,80.8,0.9,16.4,0.3,0.9,0.8
6065046700,69.15,99.16,95-100% (highest scores),4442,Riverside ,55.6,24,14.6,0.2,3.2,2.4
6029002301,69.08,99.14,95-100% (highest scores),9743,Kern ,85,9.4,3.4,0.5,0.9,0.9
6071002501,68.99,99.13,95-100% (highest scores),5840,San Bernardino,88.5,7.6,1.8,0.1,1.4,0.7
6019008502,68.98,99.12,95-100% (highest scores),7929,Fresno ,97.5,1.5,0.1,0.1,0.5,0.2
6019000502,68.97,99.1,95-100% (highest scores),3606,Fresno ,71.5,13.9,5.9,0.5,6.9,1.3
6037242100,68.88,99.09,95-100% (highest scores),2714,Los Angeles,66.6,0.4,31.4,0.1,0.4,1
6037203500,68.82,99.08,95-100% (highest scores),3064,Los Angeles,85.1,2.4,0.8,0.2,10.7,0.9
6037302401,68.65,99.07,95-100% (highest scores),5944,Los Angeles,37.3,41.2,1.9,0.1,17,2.5
6067005301,68.64,99.05,95-100% (highest scores),1823,Sacramento ,20.1,33.1,35.1,2.1,4.1,5.5
6037204820,68.47,99.04,95-100% (highest scores),2274,Los Angeles,97.9,0.8,0,0.3,0.9,0.1
6037532302,68.3,99.03,95-100% (highest scores),4707,Los Angeles,95.8,2.5,0.7,0.3,0.5,0.3
6073004900,68.27,99.02,95-100% (highest scores),5028,San Diego,90.4,3.4,4.7,0.1,0.7,0.7
6037229420,68.25,99,95-100% (highest scores),4729,Los Angeles,87.4,0.3,11.4,0.1,0.1,0.6
6037541001,68.24,98.99,95-100% (highest scores),1164,Los Angeles,43.8,2.7,47.8,0.1,3.5,2.1
6099002200,68.22,98.98,95-100% (highest scores),6223,Stanislaus ,67.5,18.3,4.2,0.7,7.5,1.9
6037534302,67.96,98.97,95-100% (highest scores),3673,Los Angeles,96.6,1.5,1.3,0.1,0.4,0.1
6073003902,67.79,98.95,95-100% (highest scores),4927,San Diego,88.7,2.9,6.3,0.2,1.1,0.6
6037239701,67.77,98.94,95-100% (highest scores),4261,Los Angeles,76.8,0.7,21.5,0.1,0.3,0.7
6077002300,67.75,98.93,95-100% (highest scores),5020,San Joaquin,78.7,3.3,6.9,0.3,9.1,1.7
6037570301,67.72,98.92,95-100% (highest scores),7330,Los Angeles,64.5,7.1,17.7,0.2,8.9,1.6
6071012400,67.63,98.9,95-100% (highest scores),3617,San Bernardino,80.7,8.9,6,0.2,3.5,0.7
6037128302,67.55,98.89,95-100% (highest scores),4688,Los Angeles,77.8,13,3.9,0.2,3.6,1.4
